"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\payment_type.js", "JavaScript", 0, 0, 0, 90, 0, 0, 10, 16, 116
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\region.js", "JavaScript", 0, 0, 0, 68, 0, 0, 10, 17, 95
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\register.js", "JavaScript", 0, 0, 0, 20, 0, 0, 0, 4, 24
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\sales_breakdown_item.js", "JavaScript", 0, 0, 0, 68, 0, 0, 10, 17, 95
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\static_data.js", "JavaScript", 0, 0, 0, 56, 0, 0, 3, 26, 85
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\style.css", "CSS", 0, 0, 0, 0, 184, 0, 7, 34, 225
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\tax.js", "JavaScript", 0, 0, 0, 139, 0, 0, 19, 22, 180
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\storage_backends.py", "Python", 5, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\templates\password_confirmation\confirm_template.html", "HTML", 0, 0, 0, 0, 0, 39, 4, 21, 64
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\templates\password_confirmation\mail_body.html", "HTML", 0, 0, 0, 0, 0, 33, 0, 12, 45
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\templates\password_reset\password_change.html", "HTML", 0, 0, 0, 0, 0, 47, 0, 7, 54
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\templates\password_reset\password_change_done.html", "HTML", 0, 0, 0, 0, 0, 11, 0, 1, 12
